"","date","incident_num","incident_type","city","state","zip","county","destroyed","major","minor","affected","injured","hospitalized","deceased","adults","children","families","assistance","verified","dispatched","responders_id","on_scene","departed"
"98",2014-01-21,140638,"Fire","Joliet","IL",60436,"Will",1,0,0,0,0,0,0,3,0,1,865,2014-01-21 23:45:00,NA,2014-01-22 00:15:00,2014-01-22 01:03:00,2014-01-22 01:44:00
"99",2014-01-21,140641,"Fire","Gary","IN",46408,"Lake",1,0,0,0,0,0,0,2,3,1,1485,2014-01-22 02:11:00,2014-01-22 02:18:00,2014-01-22 02:30:00,2014-01-22 03:28:00,2014-01-22 04:40:00
"100",2014-01-21,140642,"Fire","Aurora","IL",60505,"Kane",1,0,0,0,4,2,0,4,0,1,1075,2014-01-22 03:15:00,NA,2014-01-22 05:07:00,2014-01-22 05:30:00,2014-01-22 07:25:00
"101",2014-01-21,140643,"Fire","Harvey","IL",60426,"Cook",0,0,0,1,0,0,0,3,0,1,625,2014-01-22 06:17:00,NA,2014-01-22 21:05:00,2014-01-22 21:25:00,2014-01-22 22:55:00
"102",2014-01-22,140644,"Fire","Chicago","IL",60652,"Cook",1,0,0,0,0,0,0,3,2,1,1485,2014-01-22 08:37:00,2014-01-22 08:40:00,2014-01-22 09:00:00,2014-01-22 09:40:00,2014-01-22 10:35:00
"103",2014-01-22,140645,"Fire","Cicero","IL",60804,"Cook",2,0,0,0,0,0,0,5,2,2,1560,2014-01-22 10:38:00,2014-01-22 10:45:00,2014-01-22 11:00:00,2014-01-22 11:05:00,2014-01-22 13:22:00
"104",2014-01-22,140646,"Fire","Chicago","IL",60623,"Cook",0,0,0,1,0,0,0,0,0,0,NA,2014-01-22 13:25:00,2014-01-22 13:30:00,2014-01-22 13:45:00,2014-01-22 15:21:00,2014-01-22 15:25:00
"105",2014-01-22,140648,"Fire","Chicago","IL",60608,"Cook",0,1,0,0,1,1,0,3,1,1,895,2014-01-22 18:48:00,2014-01-22 19:01:00,2014-01-22 19:18:00,2014-01-22 19:53:00,2014-01-22 20:55:00
"106",2014-01-22,140651,"Fire","Bridgeview","IL",60455,"Cook",1,0,11,0,0,0,0,14,3,5,3755,2014-01-23 06:05:00,2014-01-23 06:10:00,2014-01-23 06:27:00,2014-01-23 07:20:00,2014-01-23 09:50:00
"107",2014-01-23,140652,"Fire","Chicago","IL",60653,"Cook",0,1,7,0,0,0,0,13,5,6,2403,2014-01-23 06:37:00,2014-01-23 06:40:00,2014-01-23 06:57:00,2014-01-23 08:04:00,2014-01-23 10:40:00
